FIPS,County,State,Country,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Combined_Key
4001,Apache,Arizona,US,4/3/20 22:46,35.39465006,-109.4892383,39,0,0,0,"Apache,Arizona,US"
4003,Cochise,Arizona,US,4/3/20 22:46,31.87934684,-109.7516088,5,0,0,0,"Cochise, Arizona, US"
4005,Coconino,Arizona,US,4/3/20 22:46,35.83883429,-111.7707178,175,5,0,0,"Coconino,Arizona,US"
4007,Gila,Arizona,US,4/3/20 22:46,33.80190085,-110.8132779,2,0,0,0,"Gila, Arizona, US"
4009,Graham,Arizona,US,4/3/20 22:46,32.93166885,-109.8882178,2,0,0,0,"Graham, Arizona, US"
4011,Greenlee,Arizona,US,4/3/20 22:46,33.21498827,-109.2405279,1,0,0,0,"Greenlee, Arizona, US"
4012,La Paz,Arizona,US,4/3/20 22:46,33.72854224,-113.9810029,2,0,0,0,"La Paz, Arizona, US"
4013,Maricopa,Arizona,US,4/3/20 22:46,33.34835867,-112.4918154,1049,12,0,0,"Maricopa, Arizona, US"
4015,Mohave,Arizona,US,4/3/20 22:46,35.70471703,-113.7577902,9,0,0,0,"Mohave, Arizona, US"
4017,Navajo,Arizona,US,4/3/20 22:46,35.3997715,-110.3218983,245,1,0,0,"Navajo,Arizona,US"
4019,Pima,Arizona,US,4/3/20 22:46,32.0971334,-111.7890033,280,11,0,0,"Pima, Arizona, US"
4021,Pinal,Arizona,US,4/3/20 22:46,32.90525627,-111.3449483,77,0,0,0,"Pinal, Arizona, US"
4023,Santa Cruz,Arizona,US,4/3/20 22:46,31.52508998,-110.8479088,3,0,0,0,"Santa Cruz, Arizona, US"
90004,Unassigned,Arizona,US,4/3/20 22:46,,,0,12,0,0,"Unassigned, Arizona, US"
4025,Yavapai,Arizona,US,4/3/20 22:46,34.59933926,-112.5538588,35,0,0,0,"Yavapai, Arizona, US"
4027,Yuma,Arizona,US,4/3/20 22:46,32.76895712,-113.9066674,13,0,0,0,"Yuma, Arizona, US"